[ INFO] 2017-03-04 11:10:20,955 [] [] Loading XML bean definitions from file [D:\Users\my\Desktop\FTP\res\conf\ftpd-typical.xml]
[ INFO] 2017-03-04 11:10:21,252 [] [] Bean factory for application context [org.springframework.context.support.FileSystemXmlApplicationContext@50134894]: org.springframework.beans.factory.support.DefaultListableBeanFactory@3ac3fd8b
[ INFO] 2017-03-04 11:10:21,268 [] [] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@3ac3fd8b: defining beans [org.apache.ftpserver.listener.ListenerFactory#0,org.apache.ftpserver.usermanager.PropertiesUserManagerFactory#0,org.apache.ftpserver.FtpServerFactory#0,myServer]; root of factory hierarchy
[ INFO] 2017-03-04 11:10:21,502 [] [] FTP server started
[ INFO] 2017-03-04 11:10:26,768 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 11:10:26,773 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 11:10:26,786 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 11:10:26,789 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-04 11:10:26,793 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-04 11:10:26,793 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ INFO] 2017-03-04 11:10:26,801 [anonymous] [192.168.0.103] Anonymous login success - chrome@example.com
[ INFO] 2017-03-04 11:10:26,801 [anonymous] [192.168.0.103] SENT: 230 User logged in, proceed.

[ INFO] 2017-03-04 11:10:26,801 [anonymous] [192.168.0.103] RECEIVED: SYST
[ INFO] 2017-03-04 11:10:26,803 [anonymous] [192.168.0.103] SENT: 215 UNIX Type: Apache FtpServer

[ INFO] 2017-03-04 11:10:26,806 [anonymous] [192.168.0.103] RECEIVED: PWD
[ INFO] 2017-03-04 11:10:26,810 [anonymous] [192.168.0.103] SENT: 257 "/" is current directory.

